"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2802","verify Invalid login","Google Chrome","Sat Nov 29 21:52:56 UTC 2025","passed","Sat Nov 29 21:52:59 UTC 2025","","loginpage.spec.ts","",""
"","3300","verify valid login","Google Chrome","Sat Nov 29 21:52:52 UTC 2025","passed","Sat Nov 29 21:52:55 UTC 2025","","loginpage.spec.ts","",""
